Node, run , hit , miss , und , Acc 
1 ,0 ,431.0 ,99.0 ,0.0 ,0.309719267573
2 ,0 ,444.0 ,86.0 ,0.0 ,0.309962900135
3 ,0 ,445.0 ,85.0 ,0.0 ,0.307118507707
1 ,1 ,428.0 ,102.0 ,0.0 ,0.315299094106
2 ,1 ,433.0 ,97.0 ,0.0 ,0.307561135191
3 ,1 ,468.0 ,62.0 ,0.0 ,0.304477035906
1 ,2 ,450.0 ,80.0 ,0.0 ,0.317558568803
2 ,2 ,469.0 ,61.0 ,0.0 ,0.30368851916
3 ,2 ,474.0 ,56.0 ,0.0 ,0.353365893379
1 ,3 ,437.0 ,93.0 ,0.0 ,0.317718208222
2 ,3 ,443.0 ,87.0 ,0.0 ,0.32901812473
3 ,3 ,456.0 ,74.0 ,0.0 ,0.318231051296
1 ,4 ,445.0 ,85.0 ,0.0 ,0.284019330908
2 ,4 ,460.0 ,70.0 ,0.0 ,0.316261625787
3 ,4 ,437.0 ,93.0 ,0.0 ,0.300969351948
1 ,5 ,441.0 ,89.0 ,0.0 ,0.301262038579
2 ,5 ,431.0 ,99.0 ,0.0 ,0.308717688324
3 ,5 ,428.0 ,102.0 ,0.0 ,0.31827774219
1 ,6 ,438.0 ,92.0 ,0.0 ,0.310785906874
2 ,6 ,463.0 ,67.0 ,0.0 ,0.307211781188
3 ,6 ,478.0 ,52.0 ,0.0 ,0.320208973403
1 ,7 ,432.0 ,98.0 ,0.0 ,0.307086121901
2 ,7 ,461.0 ,69.0 ,0.0 ,0.301998938399
3 ,7 ,486.0 ,44.0 ,0.0 ,0.328762636935
1 ,8 ,445.0 ,85.0 ,0.0 ,0.291904832548
2 ,8 ,478.0 ,52.0 ,0.0 ,0.300911775224
3 ,8 ,476.0 ,54.0 ,0.0 ,0.324396495712
1 ,9 ,434.0 ,96.0 ,0.0 ,0.300997957818
2 ,9 ,469.0 ,61.0 ,0.0 ,0.313204910632
3 ,9 ,476.0 ,54.0 ,0.0 ,0.339268338723
1 ,10 ,431.0 ,99.0 ,0.0 ,0.302882236553
2 ,10 ,440.0 ,90.0 ,0.0 ,0.324478842048
3 ,10 ,480.0 ,50.0 ,0.0 ,0.310062317164
1 ,11 ,441.0 ,89.0 ,0.0 ,0.31588772726
2 ,11 ,427.0 ,103.0 ,0.0 ,0.312049445335
3 ,11 ,467.0 ,63.0 ,0.0 ,0.313292530466
1 ,12 ,433.0 ,97.0 ,0.0 ,0.300917249917
2 ,12 ,449.0 ,81.0 ,0.0 ,0.307728922393
3 ,12 ,459.0 ,71.0 ,0.0 ,0.334383338903
1 ,13 ,435.0 ,95.0 ,0.0 ,0.302242025199
2 ,13 ,451.0 ,79.0 ,0.0 ,0.316990927324
3 ,13 ,450.0 ,80.0 ,0.0 ,0.313524189101
1 ,14 ,428.0 ,102.0 ,0.0 ,0.324236893335
2 ,14 ,468.0 ,62.0 ,0.0 ,0.311075074941
3 ,14 ,480.0 ,50.0 ,0.0 ,0.353656877439
1 ,15 ,442.0 ,88.0 ,0.0 ,0.303223610695
2 ,15 ,413.0 ,117.0 ,0.0 ,0.329142927044
3 ,15 ,454.0 ,76.0 ,0.0 ,0.305722040035
1 ,16 ,454.0 ,76.0 ,0.0 ,0.308579053052
2 ,16 ,443.0 ,87.0 ,0.0 ,0.29959043654
3 ,16 ,465.0 ,65.0 ,0.0 ,0.30233755495
1 ,17 ,439.0 ,91.0 ,0.0 ,0.308562927981
2 ,17 ,455.0 ,75.0 ,0.0 ,0.32732955741
3 ,17 ,483.0 ,47.0 ,0.0 ,0.32516750717
1 ,18 ,440.0 ,90.0 ,0.0 ,0.318863366152
2 ,18 ,439.0 ,91.0 ,0.0 ,0.311672967929
3 ,18 ,468.0 ,62.0 ,0.0 ,0.313803560006
1 ,19 ,443.0 ,87.0 ,0.0 ,0.301798125303
2 ,19 ,466.0 ,64.0 ,0.0 ,0.315889631641
3 ,19 ,477.0 ,53.0 ,0.0 ,0.321062170782
1 ,20 ,435.0 ,95.0 ,0.0 ,0.31770072895
2 ,20 ,471.0 ,59.0 ,0.0 ,0.332917003868
3 ,20 ,440.0 ,90.0 ,0.0 ,0.303304566451
1 ,21 ,434.0 ,96.0 ,0.0 ,0.319822454706
2 ,21 ,465.0 ,65.0 ,0.0 ,0.319737899731
3 ,21 ,436.0 ,94.0 ,0.0 ,0.300110773581
1 ,22 ,434.0 ,96.0 ,0.0 ,0.30166735921
2 ,22 ,457.0 ,73.0 ,0.0 ,0.32284332279
3 ,22 ,492.0 ,38.0 ,0.0 ,0.333318732283
1 ,23 ,442.0 ,88.0 ,0.0 ,0.291206753432
2 ,23 ,464.0 ,66.0 ,0.0 ,0.301852274219
3 ,23 ,484.0 ,46.0 ,0.0 ,0.329035883902
1 ,24 ,441.0 ,89.0 ,0.0 ,0.31770931745
2 ,24 ,429.0 ,101.0 ,0.0 ,0.299815057615
3 ,24 ,467.0 ,63.0 ,0.0 ,0.29916366994
1 ,25 ,440.0 ,90.0 ,0.0 ,0.304135369415
2 ,25 ,418.0 ,112.0 ,0.0 ,0.300255776079
3 ,25 ,453.0 ,77.0 ,0.0 ,0.326183550999
1 ,26 ,427.0 ,103.0 ,0.0 ,0.303987584143
2 ,26 ,444.0 ,86.0 ,0.0 ,0.298768759756
3 ,26 ,464.0 ,66.0 ,0.0 ,0.309106317315
1 ,27 ,437.0 ,93.0 ,0.0 ,0.305437606979
2 ,27 ,464.0 ,66.0 ,0.0 ,0.319956244672
3 ,27 ,454.0 ,76.0 ,0.0 ,0.320342790523
1 ,28 ,446.0 ,84.0 ,0.0 ,0.320661517468
2 ,28 ,440.0 ,90.0 ,0.0 ,0.296811983608
3 ,28 ,446.0 ,84.0 ,0.0 ,0.324756044585
1 ,29 ,444.0 ,86.0 ,0.0 ,0.304154876429
2 ,29 ,473.0 ,57.0 ,0.0 ,0.302177830372
3 ,29 ,429.0 ,101.0 ,0.0 ,0.310933851218
